Course,Widget Name,Typography,Color System,Container Depth,Mobile Readiness,Accessibility,Technology Stack,File Path
Acounting,ACC - M3 Financial Statements - Build an Income Statement Activity 1 - Income Statement Builder.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M3 Financial Statements - Build an Income Statement Activity 1 - Income Statement Builder.html
Acounting,ACC - M3 Financial Statements - Build an Income Statement Activity 2 - Advanced Income Statement Challenge.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M3 Financial Statements - Build an Income Statement Activity 2 - Advanced Income Statement Challenge.html
Acounting,ACC - M3 Financial Statements - Expense Classification Activity.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Acounting/ACC - M3 Financial Statements - Expense Classification Activity.html
Acounting,ACC - M3 Financial Statements - Financial Statements - Final Challenge.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M3 Financial Statements - Financial Statements - Final Challenge.html
Acounting,ACC - M4 Ratio Analysis - Building Luna's Balance Sheet.html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M4 Ratio Analysis - Building Luna's Balance Sheet.html
Acounting,ACC - M4 Ratio Analysis - Financial Ratio Comparison Project - Instructions.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M4 Ratio Analysis - Financial Ratio Comparison Project - Instructions.html
Acounting,ACC - M4 Ratio Analysis - What Are Financial Ratios.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M4 Ratio Analysis - What Are Financial Ratios.html
Acounting,ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe - V2.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe - V2.html
Acounting,ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe - V3.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe - V3.html
Acounting,ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Caribbean Internet Cafe.html
Acounting,ACC - M5 Understanding Managerial Accounting - Cost Classification Matching Activity - V2.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Cost Classification Matching Activity - V2.html
Acounting,ACC - M5 Understanding Managerial Accounting - Cost Classification Matching Activity.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Cost Classification Matching Activity.html
Acounting,ACC - M5 Understanding Managerial Accounting - Sailing Voyages Case Solution.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Acounting/ACC - M5 Understanding Managerial Accounting - Sailing Voyages Case Solution.html
Business of Sports Marketing,cfl-project-tie-in.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/cfl-project-tie-in.html
Business of Sports Marketing,future-trends-predictor.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/future-trends-predictor.html
Business of Sports Marketing,heritage-strategy-pre-assessment.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/heritage-strategy-pre-assessment.html
Business of Sports Marketing,heritage-transformation-strategist.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/heritage-transformation-strategist.html
Business of Sports Marketing,learning-outcomes-week.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/learning-outcomes-week.html
Business of Sports Marketing,legacy-innovation-matrix.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Business of Sports Marketing/legacy-innovation-matrix.html
Business of Sports Marketing,week5-concept-map.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Business of Sports Marketing/week5-concept-map.html
Finance,11_quiz_financial_statements.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/11_quiz_financial_statements.html
Finance,12_quiz_financial_ratios.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/12_quiz_financial_ratios.html
Finance,13_quiz_roe_decomposition.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/13_quiz_roe_decomposition.html
Finance,14_quiz_working_capital.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/14_quiz_working_capital.html
Finance,20_quiz_tvm_basics.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/20_quiz_tvm_basics.html
Finance,21_quiz_capital_budgeting.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/21_quiz_capital_budgeting.html
Finance,22_quiz_profitability_index.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/22_quiz_profitability_index.html
Finance,23_quiz_valuing_securities.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/23_quiz_valuing_securities.html
Finance,24_quiz_module4_final.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/24_quiz_module4_final.html
Finance,28_quiz_timeline_approach.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/28_quiz_timeline_approach.html
Finance,30_exercise_draw_and_solve.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/30_exercise_draw_and_solve.html
Finance,32_interactive_timeline_approach.html,Inter,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/32_interactive_timeline_approach.html
Finance,34_reflection_module4.html,Inter,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Finance/34_reflection_module4.html
Fundamentals of Analytics and Excel,analysis-toolpak-demo.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/analysis-toolpak-demo.html
Fundamentals of Analytics and Excel,bin-width-explorer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Fundamentals of Analytics and Excel/bin-width-explorer.html
Fundamentals of Analytics and Excel,data-table-demo.html,Geist,Pastel Tints,Light Drop Shadows,Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/data-table-demo.html
Fundamentals of Analytics and Excel,decision-tree-demo.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/decision-tree-demo.html
Fundamentals of Analytics and Excel,decision-tree-practice.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/decision-tree-practice.html
Fundamentals of Analytics and Excel,ecommerce-pivot-table-simulator.html,Geist,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/ecommerce-pivot-table-simulator.html
Fundamentals of Analytics and Excel,excel-correl-function-practice.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/excel-correl-function-practice.html
Fundamentals of Analytics and Excel,excel-formula-validator.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/excel-formula-validator.html
Fundamentals of Analytics and Excel,excel-sandbox-statistics.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/excel-sandbox-statistics.html
Fundamentals of Analytics and Excel,kc-decision-trees-m7.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-decision-trees-m7.html
Fundamentals of Analytics and Excel,kc-iec-data-exploration.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-iec-data-exploration.html
Fundamentals of Analytics and Excel,kc-iec-expected-value-v2.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-iec-expected-value-v2.html
Fundamentals of Analytics and Excel,kc-iec-scenario-analysis.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-iec-scenario-analysis.html
Fundamentals of Analytics and Excel,kc-m2-brent-harbridge-auction.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m2-brent-harbridge-auction.html
Fundamentals of Analytics and Excel,kc-m2-iec-revenue.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m2-iec-revenue.html
Fundamentals of Analytics and Excel,kc-m3-quadratic-mastery.html,Geist,Neutral / Minimal,Flat (No shadows),Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m3-quadratic-mastery.html
Fundamentals of Analytics and Excel,kc-m4-functions-verification.html,Geist,Neutral / Minimal,Flat (No shadows),Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m4-functions-verification.html
Fundamentals of Analytics and Excel,kc-m5-bid-ratio-analysis.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m5-bid-ratio-analysis.html
Fundamentals of Analytics and Excel,kc-m5-expected-value.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m5-expected-value.html
Fundamentals of Analytics and Excel,kc-m5-statistics-mastery.html,Geist,Neutral / Minimal,Flat (No shadows),Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m5-statistics-mastery.html
Fundamentals of Analytics and Excel,kc-m6-chace-shipping.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m6-chace-shipping.html
Fundamentals of Analytics and Excel,kc-m6-coffee-cafe-pivot.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m6-coffee-cafe-pivot.html
Fundamentals of Analytics and Excel,kc-m7-correlation-mastery.html,Geist,Neutral / Minimal,Flat (No shadows),Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m7-correlation-mastery.html
Fundamentals of Analytics and Excel,kc-m7-iec-simulation.html,Inter,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-m7-iec-simulation.html
Fundamentals of Analytics and Excel,kc-module-1.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-1.html
Fundamentals of Analytics and Excel,kc-module-2.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-2.html
Fundamentals of Analytics and Excel,kc-module-3.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-3.html
Fundamentals of Analytics and Excel,kc-module-4.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-4.html
